(36.346144, 59.442269)
(36.342886, 59.452089)
(36.339231, 59.463589)
(36.335783, 59.474614)
(36.332486, 59.485139)
(36.329861, 59.493519)
(36.327811, 59.500239)
(36.324908, 59.509375)
(36.322583, 59.516919)
(36.320011, 59.525094)
(36.317297, 59.533847)
(36.312581, 59.544397)
(36.306972, 59.552908)
(36.300169, 59.563322)
(36.297011, 59.573181)
(36.294344, 59.578603)
(36.291058, 59.585981)
(36.281239, 59.595775)
(36.273564, 59.603450)
(36.267722, 59.609139)
(36.262469, 59.614356)
(36.256600, 59.619525)
(36.243390, 59.623570)
(36.225292, 59.643847)
